* Textfile zur Anzeige von Klartexten zu den entsprechenden
* RPS-Fehlermeldungen.

0001 "SYSTEM: TimeOut bei der Servicebehandlung"
0005 "SYSTEM: Objekt existiert nicht mehr"
0006 "SYSTEM: ungÅltige ObjektID"
0008 "SYSTEM: kein Objekt kann mehr erzeugt werden (Konfiguration)"
0009 "SYSTEM: Objekt nicht vorhanden"
0010 "Falscher PROM-Typ, kein FIXRAM konfiguriert ?"
0012 "Zu wenig freier PROM/FLASH-Speicher"
0013 "PROM/FLASH nicht gelîscht"
0015 "PROM/FLASH nicht programmierbar, Schreibschutzschalter ?"
0016 "SYSTEM: zu kleiner Stack (Konfiguration)"
0020 "SYSTEM: Task ist bereits suspendiert"
0021 "SYSTEM: Task lÑuft bereits"
0032 "SYSTEM: Versuch einen Nullspeicher zu allokieren"
0033 "SYSTEM: Zuviel Speicher auf einmal allokiert"
0034 "SYSTEM: Zuviel Speicher auf einmal allokiert"
0035 "SYSTEM: Speicherklassen stimmen nicht Åberein"
0036 "SYSTEM: zurÅckgegebener Speicher entspricht nicht allokiertem"
0051 "SYSTEM: Zuwenig Queues konfiguriert (Konfiguration)"
0052 "SYSTEM: Es stehen zuwenig Messagebuffer zur VerfÅgung"
0065 "SYSTEM: Zuwenige Semaphore konfiguriert (Konfiguration)"
0072 "WARNING: RTC bzw. Systemzeit nicht gesetzt"
0073 "WARNING: RTC bzw. Systemzeit nicht gesetzt"

0257 "SYSTEM: falsche Devicenummer"
0258 "SYSTEM: kein Treiber vorhanden"
0259 "SYSTEM: Treiberfunktion wird nicht unterstÅtzt"

/*****************************/
/*  Hardware  TRAP  Library  */
/*****************************/

2000 "Falscher Zugriff auf Hardwarekomponente"
2001 "Falscher Zugriff auf Hardwarekomponente"
2002 "Kein Subslotmodul gesteckt"

2010 "Falscher Zugriff auf Hardwarekomponente"
2011 "Falscher Zugriff auf Hardwarekomponente"
2012 "Falscher Zugriff auf Hardwarekomponente"
2013 "Falscher Zugriff auf Hardwarekomponente"
2015 "DRAM zu klein fÅr gespeicherte Module"
2016 "Falscher Zugriff auf Hardwarekomponente"
2017 "DRAM-Kopieren: Speicher schon belegt, Warmstart nicht mîglich"

2020 "Falscher Zugriff auf Hardwarekomponente"
2021 "Falsche Zeit bei Timeraktivierung"
2022 "Timer unterstÅtzt keinen Interrupt"
2023 "Timer unterstÅtzt diese Zeit nicht"

2030 "Falscher Zugriff auf Hardwarekomponente (CRM)"
2031 "Falsches Offset bei Zugriff auf CRM"
2032 "Falsche LÑnge beim Zugriff auf CRM"

2040 "Falscher Zugriff auf Hardwarekomponente (IRC)"
2041 "Mode wird vom IRC nicht unterstÅtzt"
2042 "Falsche Interruptnummer Åbergeben"
